[2026-09-09T21:56:00] MEXP pipeline dead; restarting (attempt 1, sig=)
[2026-09-09T22:05:02] alive: MEXP pid(s) 50376,50004
[2026-09-09T22:15:05] alive: MEXP pid(s) 50376,50004
[2026-09-09T22:25:03] alive: MEXP pid(s) 50376,50004
[2026-09-09T22:35:03] MEXP pipeline dead; restarting (attempt 2, sig=pairs=3;nan=0)
[2026-09-09T22:45:03] alive: MEXP pid(s) 26096,27124
[2026-09-09T22:55:03] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:05:02] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:15:02] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:25:03] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:35:02] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:45:02] alive: MEXP pid(s) 26096,27124
[2026-09-09T23:55:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:05:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:15:04] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:25:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:35:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:45:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T00:55:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:05:03] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:15:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:25:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:35:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:45:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T01:55:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:05:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:15:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:25:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:35:02] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:45:01] alive: MEXP pid(s) 26096,27124
[2026-09-10T02:55:01] alive: MEXP pid(s) 26096,27124
[2026-09-10T03:05:01] alive: MEXP pid(s) 26096,27124
